"birth_info","url","player","position","date_of_birth_age","caps","franchise_province","team","club_province","country","lat","long"
"Uruguay","https://en.wikipedia.org/wiki/Felipe_Arcos_P%C3%A9rez","Felipe Arcos Pérez","Centre","(2001-05-17)17 May 2001 (aged 22)",9,NA,"Uruguay","Old Boys","Uruguay",-32.8755548,-56.0201525
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Tom%C3%A1s_Inciarte","Tomás Inciarte","Centre","(1996-10-22)22 October 1996 (aged 26)",32,NA,"Uruguay","Peñarol","Uruguay",-34.9058916,-56.1913095
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Andr%C3%A9s_Vilaseca","Andrés Vilaseca (c)","Centre","(1991-05-08)8 May 1991 (aged 32)",75,NA,"Uruguay","Vannes","Uruguay",-34.9058916,-56.1913095
"Argentina","https://en.wikipedia.org/wiki/Baltazar_Amaya","Baltazar Amaya","Wing","(1999-05-26)26 May 1999 (aged 24)",8,NA,"Uruguay","Old Boys","Argentina",-34.9964963,-64.9672817
NA,"https://en.wikipedia.org/wiki/Bautista_Basso","Bautista Basso","Wing","(2001-01-18)18 January 2001 (aged 22)",4,NA,"Uruguay","Old Boys",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Ignacio_Facciolo&action=edit&redlink=1","Ignacio Facciolo","Wing","(1998-12-28)28 December 1998 (aged 24)",1,NA,"Uruguay","CTM Rugby",NA,NA,NA
NA,"https://en.wikipedia.org/wiki/Nicol%C3%A1s_Freitas_(rugby_union)","Nicolás Freitas","Wing","(1993-07-03)3 July 1993 (aged 30)",50,NA,"Uruguay","Vannes",NA,NA,NA
"Punta del Este, Uruguay","https://en.wikipedia.org/wiki/Gast%C3%B3n_Mieres","Gastón Mieres","Fullback","(1989-10-05)5 October 1989 (aged 33)",82,NA,"Uruguay","Peñarol","Uruguay",-34.9632342,-54.9439981
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Rodrigo_Silva_(rugby_union)","Rodrigo Silva","Fullback","(1992-11-02)2 November 1992 (aged 30)",77,NA,"Uruguay","Peñarol","Uruguay",-34.9058916,-56.1913095
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Obert_Nortj%C3%A9","Obert Nortjé","Hooker","(1997-04-17)17 April 1997 (aged 26)",21,NA,"Namibia","Wanderers","Namibia",-22.5776104,17.0772739
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Torsten_van_Jaarsveld","Torsten van Jaarsveld","Hooker","(1987-06-30)30 June 1987 (aged 36)",19,NA,"Namibia","Bayonne","Namibia",-22.5776104,17.0772739
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Louis_van_der_Westhuizen_(rugby_union)","Louis van der Westhuizen","Hooker","(1995-02-25)25 February 1995 (aged 28)",29,NA,"Namibia","Cheetahs","Namibia",-22.5776104,17.0772739
NA,"https://en.wikipedia.org/w/index.php?title=Jason_Benade&action=edit&redlink=1","Jason Benade","Prop","(1995-04-16)16 April 1995 (aged 28)",13,NA,"Namibia","University of Namibia",NA,NA,NA
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Aranos_Coetzee","Aranos Coetzee","Prop","(1988-03-14)14 March 1988 (aged 35)",29,NA,"Namibia","Cheetahs","Namibia",-22.5776104,17.0772739
"Walvis Bay, Namibia","https://en.wikipedia.org/wiki/Des_Sethie","Des Sethie","Prop","(1992-12-09)9 December 1992 (aged 30)",17,NA,"Namibia","University of Namibia","Namibia",-22.9557607,14.5071125
NA,"https://en.wikipedia.org/w/index.php?title=Haitembu_Shikufa&action=edit&redlink=1","Haitembu Shikufa","Prop","(2000-11-28)28 November 2000 (aged 22)",1,NA,"Namibia","Leopards",NA,NA,NA
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Casper_Viviers","Casper Viviers","Prop","(1988-06-01)1 June 1988 (aged 35)",41,NA,"Namibia","La Baule","Namibia",-22.5776104,17.0772739
"Namibia","https://en.wikipedia.org/wiki/Tiaan_de_Klerk","Tiaan de Klerk","Lock","(2001-06-12)12 June 2001 (aged 22)",1,NA,"Namibia","Mogliano","Namibia",-23.2335499,17.3231107
NA,"https://en.wikipedia.org/wiki/Adriaan_Ludick","Adriaan Ludick","Lock","(1998-07-22)22 July 1998 (aged 25)",9,NA,"Namibia","Limoges",NA,NA,NA
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Mahepisa_Tjeriko","Mahepisa Tjeriko","Lock","(1993-05-06)6 May 1993 (aged 30)",11,NA,"Namibia","University of Namibia","Namibia",-22.5776104,17.0772739
"Otjiwarongo, Namibia","https://en.wikipedia.org/wiki/Tjiuee_Uanivi","Tjiuee Uanivi","Lock","(1990-12-31)31 December 1990 (aged 32)",34,NA,"Namibia","Montauban","Namibia",-20.4635829,16.6490992
"Keetmanshoop, Namibia","https://en.wikipedia.org/wiki/P._J._van_Lill","P. J. van Lill","Lock","(1983-12-04)4 December 1983 (aged 39)",60,NA,"Namibia","Capbreton-Hossegor","Namibia",-26.5816902,18.1365094
"Gobabis, Namibia","https://en.wikipedia.org/wiki/Adriaan_Booysen","Adriaan Booysen","Back row","(1996-05-17)17 May 1996 (aged 27)",24,NA,"Namibia","Dallas Jackals","Namibia",-22.4495283,18.9724666
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Wian_Conradie","Wian Conradie","Back row","(1994-10-14)14 October 1994 (aged 28)",28,NA,"Namibia","New England Free Jacks","Namibia",-22.5776104,17.0772739
"Omaruru, Namibia","https://en.wikipedia.org/wiki/Prince_%C7%83Gaoseb","Prince ǃGaoseb","Back row","(1998-07-07)7 July 1998 (aged 25)",12,NA,"Namibia","Tel Aviv Heat","Namibia",-21.4173717,15.9514037
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Richard_Hardwick","Richard Hardwick","Back row","(1994-05-31)31 May 1994 (aged 29)",3,NA,"Namibia","Melbourne Rebels","Namibia",-22.5776104,17.0772739
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Max_Katjijeko","Max Katjijeko","Back row","(1995-04-08)8 April 1995 (aged 28)",21,NA,"Namibia","Tel Aviv Heat","Namibia",-22.5776104,17.0772739
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Johan_Retief_(rugby_union)","Johan Retief","Back row","(1995-10-10)10 October 1995 (aged 27)",21,NA,"Namibia","Griquas","Namibia",-22.5776104,17.0772739
NA,"https://en.wikipedia.org/w/index.php?title=Oela_Blaauw&action=edit&redlink=1","Oela Blaauw","Scrum-half","(2001-10-17)17 October 2001 (aged 21)",0,NA,"Namibia","University of Johannesburg",NA,NA,NA
NA,"https://en.wikipedia.org/wiki/TC_Kisting","TC Kisting","Scrum-half","(1994-01-13)13 January 1994 (aged 29)",18,NA,"Namibia","Dinamo București",NA,NA,NA
"Walvis Bay, Namibia","https://en.wikipedia.org/wiki/Damian_Stevens","Damian Stevens","Scrum-half","(1995-06-02)2 June 1995 (aged 28)",36,NA,"Namibia","New Orleans Gold","Namibia",-22.9557607,14.5071125
NA,"https://en.wikipedia.org/w/index.php?title=Jacques_Theron&action=edit&redlink=1","Jacques Theron","Scrum-half","(1999-03-22)22 March 1999 (aged 24)",3,NA,"Namibia","Wanderers",NA,NA,NA
"Rehoboth, Namibia","https://en.wikipedia.org/wiki/Cliven_Loubser","Cliven Loubser","Fly-half","(1997-02-24)24 February 1997 (aged 26)",24,NA,"Namibia","Utah Warriors","Namibia",-23.315105,17.0816994
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Tiaan_Swanepoel","Tiaan Swanepoel","Fly-half","(1996-06-04)4 June 1996 (aged 27)",2,NA,"Namibia","Lions","Namibia",-22.5776104,17.0772739
NA,"https://en.wikipedia.org/w/index.php?title=Andr%C3%A9_van_den_Berg&action=edit&redlink=1","André van den Berg","Fly-half","(1999-11-28)28 November 1999 (aged 23)",4,NA,"Namibia","Wanderers",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Danco_Burger&action=edit&redlink=1","Danco Burger","Centre","(1998-07-28)28 July 1998 (aged 25)",5,NA,"Namibia","Wanderers",NA,NA,NA
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Johan_Deysel","Johan Deysel (c)","Centre","(1991-09-26)26 September 1991 (aged 31)",35,NA,"Namibia","Colomiers","Namibia",-22.5776104,17.0772739
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Alcino_Izaacs","Alcino Izaacs","Centre","(1993-11-16)16 November 1993 (aged 29)",3,NA,"Namibia","University of Namibia","Namibia",-22.5776104,17.0772739
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Le_Roux_Malan","Le Roux Malan","Centre","(1999-03-31)31 March 1999 (aged 24)",2,NA,"Namibia","New England Free Jacks","Namibia",-22.5776104,17.0772739
"Okahandja, Namibia","https://en.wikipedia.org/wiki/JC_Greyling","JC Greyling","Wing","(1991-06-21)21 June 1991 (aged 32)",42,NA,"Namibia","Wanderers","Namibia",-21.979231,16.9128172
NA,"https://en.wikipedia.org/w/index.php?title=Gerswin_Mouton&action=edit&redlink=1","Gerswin Mouton","Wing","(1999-12-16)16 December 1999 (aged 23)",3,NA,"Namibia","Wits University",NA,NA,NA
"Swakopmund, Namibia","https://en.wikipedia.org/wiki/Chad_Plato","Chad Plato","Fullback","(1998-04-21)21 April 1998 (aged 25)",4,NA,"Namibia","Club Rugby Ferrol","Namibia",-22.6767841,14.5313988
"Windhoek, Namibia","https://en.wikipedia.org/wiki/Divan_Rossouw","Divan Rossouw","Fullback","(1996-03-12)12 March 1996 (aged 27)",6,NA,"Namibia","Krasny Yar","Namibia",-22.5776104,17.0772739
"Germiston, South Africa","https://en.wikipedia.org/wiki/Malcolm_Marx","Malcolm Marx","Hooker","(1994-07-13)13 July 1994 (aged 29)",63,NA,"South Africa","Kubota Spears","South Africa",-26.229444,28.180556
"Bethlehem, South Africa","https://en.wikipedia.org/wiki/Bongi_Mbonambi","Bongi Mbonambi","Hooker","(1991-01-07)7 January 1991 (aged 32)",62,NA,"South Africa","Sharks","South Africa",-28.2308333,28.3088889
"Somerset West, South Africa","https://en.wikipedia.org/wiki/Steven_Kitshoff","Steven Kitshoff","Prop","(1992-02-10)10 February 1992 (aged 31)",76,NA,"South Africa","Ulster","South Africa",-34.0822195,18.8489342
"Empangeni, South Africa","https://en.wikipedia.org/wiki/Vincent_Koch","Vincent Koch","Prop","(1990-03-13)13 March 1990 (aged 33)",46,NA,"South Africa","Sharks","South Africa",-28.746111,31.897222
"Bredasdorp, South Africa","https://en.wikipedia.org/wiki/Frans_Malherbe","Frans Malherbe","Prop","(1991-03-14)14 March 1991 (aged 32)",63,NA,"South Africa","Stormers","South Africa",-34.533055,20.042778
"Bloemfontein, South Africa","https://en.wikipedia.org/wiki/Ox_Nch%C3%A9","Ox Nché","Prop","(1995-07-23)23 July 1995 (aged 28)",21,NA,"South Africa","Sharks","South Africa",-29.116395,26.215496
"Bushbuckridge, South Africa","https://en.wikipedia.org/wiki/Trevor_Nyakane","Trevor Nyakane","Prop","(1989-05-04)4 May 1989 (aged 34)",62,NA,"South Africa","Racing 92","South Africa",-24.83356,31.067731
"Cape Town, Cape Province, South Africa","https://en.wikipedia.org/wiki/Eben_Etzebeth","Eben Etzebeth","Lock","(1991-10-29)29 October 1991 (aged 31)",113,NA,"South Africa","Sharks","South Africa",-33.928992,18.417396
"Linden, South Africa","https://en.wikipedia.org/wiki/Jean_Kleyn","Jean Kleyn","Lock","(1993-08-26)26 August 1993 (aged 30)",4,NA,"South Africa","Munster","South Africa",-26.1319444,27.9933333
"Welkom, South Africa","https://en.wikipedia.org/wiki/Franco_Mostert","Franco Mostert","Lock","(1990-11-27)27 November 1990 (aged 32)",67,NA,"South Africa","Mie Honda Heat","South Africa",-27.982298,26.737969
"Cape Town, South Africa","https://en.wikipedia.org/wiki/Marvin_Orie","Marvin Orie","Lock","(1993-02-15)15 February 1993 (aged 30)",14,NA,"South Africa","Perpignan","South Africa",-33.928992,18.417396
"Potchefstroom, South Africa","https://en.wikipedia.org/wiki/RG_Snyman","RG Snyman","Lock","(1995-01-29)29 January 1995 (aged 28)",28,NA,"South Africa","Munster","South Africa",-26.7150922,27.1013887
"Cape Town, South Africa","https://en.wikipedia.org/wiki/Pieter-Steph_du_Toit","Pieter-Steph du Toit","Loose forward","(1992-08-20)20 August 1992 (aged 31)",71,NA,"South Africa","Toyota Verblitz","South Africa",-33.928992,18.417396
"Pretoria, South Africa","https://en.wikipedia.org/wiki/Deon_Fourie","Deon Fourie","Loose forward","(1986-09-25)25 September 1986 (aged 36)",7,NA,"South Africa","Stormers","South Africa",-25.7459277,28.1879101
"Port Elizabeth, Eastern Cape, Republic of South Africa","https://en.wikipedia.org/wiki/Siya_Kolisi","Siya Kolisi (c)","Loose forward","(1991-06-16)16 June 1991 (aged 32)",77,NA,"South Africa","Racing 92","South Africa",-33.9618359,25.6186512
"Lydenburg, South Africa","https://en.wikipedia.org/wiki/Kwagga_Smith","Kwagga Smith","Loose forward","(1993-06-11)11 June 1993 (aged 30)",34,NA,"South Africa","Shizuoka Blue Revs","South Africa",-25.099437,30.458881
"Krugersdorp, South Africa","https://en.wikipedia.org/wiki/Marco_van_Staden","Marco van Staden","Loose forward","(1995-08-25)25 August 1995 (aged 28)",14,NA,"South Africa","Bulls","South Africa",-26.095556,27.775556
"Nelspruit, South Africa","https://en.wikipedia.org/wiki/Duane_Vermeulen","Duane Vermeulen","Loose forward","(1986-07-03)3 July 1986 (aged 37)",70,NA,"South Africa","SA Rugby","South Africa",-25.481944,30.984722
"Upington, South Africa","https://en.wikipedia.org/wiki/Jasper_Wiese","Jasper Wiese","Loose forward","(1995-10-21)21 October 1995 (aged 27)",23,NA,"South Africa","Leicester Tigers","South Africa",-28.456325,21.241867
"Nelspruit, South Africa","https://en.wikipedia.org/wiki/Faf_de_Klerk","Faf de Klerk","Scrum-half","(1991-10-19)19 October 1991 (aged 31)",49,NA,"South Africa","Yokohama Canon Eagles","South Africa",-25.481944,30.984722
"King William's Town, South Africa","https://en.wikipedia.org/wiki/Jaden_Hendrikse","Jaden Hendrikse","Scrum-half","(2000-03-23)23 March 2000 (aged 23)",13,NA,"South Africa","Sharks","South Africa",-32.8797222,27.3944444
"Bloemfontein, South Africa","https://en.wikipedia.org/wiki/Cobus_Reinach","Cobus Reinach","Scrum-half","(1990-02-07)7 February 1990 (aged 33)",26,NA,"South Africa","Montpellier","South Africa",-29.116395,26.215496
"Paarl, Western Cape, South Africa","https://en.wikipedia.org/wiki/Grant_Williams_(rugby_union)","Grant Williams","Scrum-half","(1996-07-02)2 July 1996 (aged 27)",5,NA,"South Africa","Sharks","South Africa",-33.741667,18.975
"Humansdorp, South Africa","https://en.wikipedia.org/wiki/Manie_Libbok","Manie Libbok","Fly-half","(1997-07-15)15 July 1997 (aged 26)",9,NA,"South Africa","Stormers","South Africa",-34.0300592,24.7700503
"Strand, Western Cape, Republic of South Africa","https://en.wikipedia.org/wiki/Damian_Willemse","Damian Willemse","Fly-half","(1998-05-07)7 May 1998 (aged 25)",33,NA,"South Africa","Stormers","South Africa",-34.10556,18.830564
"Cape Town, South Africa","https://en.wikipedia.org/wiki/Damian_de_Allende","Damian de Allende","Centre","(1991-11-25)25 November 1991 (aged 31)",73,NA,"South Africa","Saitama Wild Knights","South Africa",-33.928992,18.417396
"Potchefstroom, South Africa","https://en.wikipedia.org/wiki/Andr%C3%A9_Esterhuizen","André Esterhuizen","Centre","(1994-03-30)30 March 1994 (aged 29)",14,NA,"South Africa","Harlequins","South Africa",-26.7150922,27.1013887
"Cape Town, South Africa","https://en.wikipedia.org/wiki/Jesse_Kriel","Jesse Kriel","Centre","(1994-02-15)15 February 1994 (aged 29)",62,NA,"South Africa","Yokohama Canon Eagles","South Africa",-33.928992,18.417396
"Paarl, South Africa","https://en.wikipedia.org/wiki/Kurt-Lee_Arendse","Kurt-Lee Arendse","Wing","(1996-06-17)17 June 1996 (aged 27)",10,NA,"South Africa","Bulls","South Africa",-33.741667,18.975
"Kraaifontein, Cape Province, Republic of South Africa","https://en.wikipedia.org/wiki/Cheslin_Kolbe","Cheslin Kolbe","Wing","(1993-10-28)28 October 1993 (aged 29)",26,NA,"South Africa","Tokyo Sungoliath","South Africa",-33.8477778,18.7161111
"Tsholomnqa, South Africa","https://en.wikipedia.org/wiki/Makazole_Mapimpi","Makazole Mapimpi","Wing","(1990-07-26)26 July 1990 (aged 33)",39,NA,"South Africa","Sharks","South Africa",-33.16119,27.528158
"Paarl, South Africa","https://en.wikipedia.org/wiki/Canan_Moodie","Canan Moodie","Wing","(2002-11-05)5 November 2002 (aged 20)",8,NA,"South Africa","Bulls","South Africa",-33.741667,18.975
"Stellenbosch, South Africa","https://en.wikipedia.org/wiki/Willie_le_Roux","Willie le Roux","Fullback","(1989-08-18)18 August 1989 (aged 34)",87,NA,"South Africa","Bulls","South Africa",-33.934444,18.869167
"Cape Town, South Africa","https://en.wikipedia.org/wiki/Rob_Herring_(rugby_union)","Rob Herring","Hooker","(1990-04-28)28 April 1990 (aged 33)",37,NA,"Ireland","Ulster","South Africa",-33.928992,18.417396
"Dublin, Ireland","https://en.wikipedia.org/wiki/R%C3%B3nan_Kelleher","Rónan Kelleher","Hooker","(1998-01-24)24 January 1998 (aged 25)",21,NA,"Ireland","Leinster","Ireland",53.3493795,-6.2605593
"Dublin, Ireland","https://en.wikipedia.org/wiki/Dan_Sheehan_(rugby_union)","Dan Sheehan","Hooker","(1998-09-17)17 September 1998 (aged 24)",18,NA,"Ireland","Leinster","Ireland",53.3493795,-6.2605593
"Canberra, Australian Capital Territory, Australia","https://en.wikipedia.org/wiki/Finlay_Bealham","Finlay Bealham","Prop","(1991-10-09)9 October 1991 (aged 31)",32,NA,"Ireland","Connacht","Australia",-35.2975906,149.1012676
"Wexford, Ireland","https://en.wikipedia.org/wiki/Tadhg_Furlong","Tadhg Furlong","Prop","(1992-11-14)14 November 1992 (aged 30)",67,NA,"Ireland","Leinster","Ireland",52.46018745,-6.60651545915916
"Limerick, Ireland","https://en.wikipedia.org/wiki/Dave_Kilcoyne","Dave Kilcoyne","Prop","(1988-12-14)14 December 1988 (aged 34)",52,NA,"Ireland","Munster","Ireland",52.66833065,-8.66451062242474
"Reno, United States","https://en.wikipedia.org/wiki/Jeremy_Loughman","Jeremy Loughman","Prop","(1995-07-22)22 July 1995 (aged 28)",3,NA,"Ireland","Munster","United States",39.5261206,-119.8126581
"Drogheda, Ireland","https://en.wikipedia.org/wiki/Tom_O%27Toole_(rugby_union)","Tom O'Toole","Prop","(1998-09-23)23 September 1998 (aged 24)",11,NA,"Ireland","Ulster","Ireland",53.7149877,-6.3524183
"Dublin, Ireland","https://en.wikipedia.org/wiki/Andrew_Porter_(rugby_union)","Andrew Porter","Prop","(1996-01-16)16 January 1996 (aged 27)",54,NA,"Ireland","Leinster","Ireland",53.3493795,-6.2605593
"Dublin, Ireland","https://en.wikipedia.org/wiki/Ryan_Baird","Ryan Baird","Lock","(1999-07-26)26 July 1999 (aged 24)",13,NA,"Ireland","Leinster","Ireland",53.3493795,-6.2605593
"Eadestown, Ireland","https://en.wikipedia.org/wiki/Tadhg_Beirne","Tadhg Beirne","Lock","(1992-01-08)8 January 1992 (aged 31)",41,NA,"Ireland","Munster","Ireland",53.199301,-6.59262722788744
"Craigavon, Northern Ireland","https://en.wikipedia.org/wiki/Iain_Henderson","Iain Henderson","Lock","(1992-02-21)21 February 1992 (aged 31)",74,NA,"Ireland","Ulster","Northern Ireland",54.4507201,-6.3921622
"Manhattan, New York, United States","https://en.wikipedia.org/wiki/Joe_McCarthy_(rugby_union)","Joe McCarthy","Lock","(2001-03-26)26 March 2001 (aged 22)",3,NA,"Ireland","Leinster","United States",40.7814865,-73.95905442771
"Blackrock, Ireland","https://en.wikipedia.org/wiki/James_Ryan_(rugby_union,_born_1996)","James Ryan","Lock","(1996-07-24)24 July 1996 (aged 27)",55,NA,"Ireland","Leinster","Ireland",53.3018639,-6.1788342
"Bray, Ireland","https://en.wikipedia.org/wiki/Jack_Conan","Jack Conan","Back row","(1992-07-29)29 July 1992 (aged 31)",39,NA,"Ireland","Leinster","Ireland",53.2014604,-6.1105049
"Ballina, Ireland","https://en.wikipedia.org/wiki/Caelan_Doris","Caelan Doris","Back row","(1998-04-02)2 April 1998 (aged 25)",31,NA,"Ireland","Leinster","Ireland",54.1143359,-9.1532099
"Cork, Ireland","https://en.wikipedia.org/wiki/Peter_O%27Mahony","Peter O'Mahony","Back row","(1989-09-17)17 September 1989 (aged 33)",96,NA,"Ireland","Munster","Ireland",51.897077,-8.4654674
"Wicklow, Ireland","https://en.wikipedia.org/wiki/Josh_van_der_Flier","Josh van der Flier","Back row","(1993-04-25)25 April 1993 (aged 30)",52,NA,"Ireland","Leinster","Ireland",52.95814675,-6.38197070867766
"Limerick, Ireland","https://en.wikipedia.org/wiki/Craig_Casey","Craig Casey","Scrum-half","(1999-04-19)19 April 1999 (aged 24)",12,NA,"Ireland","Munster","Ireland",52.66833065,-8.66451062242474
"Great Barrier Island, New Zealand","https://en.wikipedia.org/wiki/Jamison_Gibson-Park","Jamison Gibson-Park","Scrum-half","(1992-02-23)23 February 1992 (aged 31)",26,NA,"Ireland","Leinster","New Zealand",-36.1994214,175.417286613805
"Limerick, Ireland","https://en.wikipedia.org/wiki/Conor_Murray","Conor Murray","Scrum-half","(1989-04-20)20 April 1989 (aged 34)",106,NA,"Ireland","Munster","Ireland",52.66833065,-8.66451062242474
"Dublin, Ireland","https://en.wikipedia.org/wiki/Ross_Byrne","Ross Byrne","Fly-half","(1995-04-08)8 April 1995 (aged 28)",21,NA,"Ireland","Leinster","Ireland",53.3493795,-6.2605593
"Innishannon, Ireland","https://en.wikipedia.org/wiki/Jack_Crowley","Jack Crowley","Fly-half","(2000-01-13)13 January 2000 (aged 23)",6,NA,"Ireland","Munster","Ireland",51.7647271,-8.6569563
"Dublin, Ireland","https://en.wikipedia.org/wiki/Johnny_Sexton","Johnny Sexton (c)","Fly-half","(1985-07-11)11 July 1985 (aged 38)",113,NA,"Ireland","Unattached","Ireland",53.3493795,-6.2605593
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Bundee_Aki","Bundee Aki","Centre","(1990-04-07)7 April 1990 (aged 33)",47,NA,"Ireland","Connacht","New Zealand",-36.5412811,174.550610491441
"Athlone, Ireland","https://en.wikipedia.org/wiki/Robbie_Henshaw","Robbie Henshaw","Centre","(1993-06-12)12 June 1993 (aged 30)",64,NA,"Ireland","Leinster","Ireland",53.4228434,-7.9425897
"Bangor, Northern Ireland","https://en.wikipedia.org/wiki/Stuart_McCloskey","Stuart McCloskey","Centre","(1992-08-06)6 August 1992 (aged 31)",13,NA,"Ireland","Ulster","Northern Ireland",54.662595,-5.6679127
"Dublin, Ireland","https://en.wikipedia.org/wiki/Garry_Ringrose","Garry Ringrose","Centre","(1995-01-26)26 January 1995 (aged 28)",51,NA,"Ireland","Leinster","Ireland",53.3493795,-6.2605593
"Moyross, Ireland","https://en.wikipedia.org/wiki/Keith_Earls","Keith Earls","Wing","(1987-10-02)2 October 1987 (aged 35)",100,NA,"Ireland","Munster","Ireland",52.68313695,-8.64661912971654
"Canberra, Australian Capital Territory, Australia","https://en.wikipedia.org/wiki/Mack_Hansen","Mack Hansen","Wing","(1998-03-27)27 March 1998 (aged 25)",16,NA,"Ireland","Connacht","Australia",-35.2975906,149.1012676
"Nelson, New Zealand","https://en.wikipedia.org/wiki/James_Lowe_(rugby_union)","James Lowe","Wing","(1992-07-08)8 July 1992 (aged 31)",21,NA,"Ireland","Leinster","New Zealand",-41.2710849,173.2836756
"Dublin, Ireland","https://en.wikipedia.org/wiki/Hugo_Keenan","Hugo Keenan","Fullback","(1996-06-18)18 June 1996 (aged 27)",31,NA,"Ireland","Leinster","Ireland",53.3493795,-6.2605593
"Eadestown, Ireland","https://en.wikipedia.org/wiki/Jimmy_O%27Brien_(rugby_union)","Jimmy O'Brien","Fullback","(1996-11-27)27 November 1996 (aged 26)",6,NA,"Ireland","Leinster","Ireland",53.199301,-6.59262722788744
"Toronto, Ontario, Canada","https://en.wikipedia.org/wiki/Ewan_Ashman","Ewan Ashman","Hooker","(2000-04-03)3 April 2000 (aged 23)",9,NA,NA,"Edinburgh","Canada",43.6534817,-79.3839347
"Edinburgh, Scotland","https://en.wikipedia.org/wiki/Dave_Cherry","Dave Cherry","Hooker","(1991-01-03)3 January 1991 (aged 32)",10,NA,NA,"Edinburgh","Scotland",55.9533456,-3.1883749
"Edinburgh, Scotland","https://en.wikipedia.org/wiki/George_Turner_(rugby_union)","George Turner","Hooker","(1992-10-08)8 October 1992 (aged 30)",37,NA,NA,"Glasgow Warriors","Scotland",55.9533456,-3.1883749
"Stirling, Scotland","https://en.wikipedia.org/wiki/Jamie_Bhatti","Jamie Bhatti","Prop","(1993-09-08)8 September 1993 (aged 30)",32,NA,NA,"Glasgow Warriors","Scotland",56.1181242,-3.9360012
"Perth, Scotland","https://en.wikipedia.org/wiki/Zander_Fagerson","Zander Fagerson","Prop","(1996-01-19)19 January 1996 (aged 27)",59,NA,NA,"Glasgow Warriors","Scotland",56.3958186,-3.4286805
"Loeriesfontein, South Africa","https://en.wikipedia.org/wiki/WP_Nel","WP Nel","Prop","(1986-04-30)30 April 1986 (aged 37)",56,NA,NA,"Edinburgh","South Africa",-30.955278,19.443611
"Nelspruit, South Africa","https://en.wikipedia.org/wiki/Pierre_Schoeman","Pierre Schoeman","Prop","(1994-05-07)7 May 1994 (aged 29)",23,NA,NA,"Edinburgh","South Africa",-25.481944,30.984722
"Wales","https://en.wikipedia.org/wiki/Javan_Sebastian","Javan Sebastian","Prop","(1994-09-02)2 September 1994 (aged 29)",6,NA,NA,"Edinburgh","Wales",52.2928116,-3.73893
"Melrose, Scotland","https://en.wikipedia.org/wiki/Rory_Sutherland_(rugby_union)","Rory Sutherland","Prop","(1992-08-24)24 August 1992 (aged 31)",25,NA,NA,"Unattached","Scotland",55.5975944,-2.7199682
"Glasgow, Scotland","https://en.wikipedia.org/wiki/Scott_Cummings_(rugby_union)","Scott Cummings","Lock","(1996-12-03)3 December 1996 (aged 26)",29,NA,NA,"Glasgow Warriors","Scotland",55.861155,-4.2501687
"Stirling, Scotland","https://en.wikipedia.org/wiki/Grant_Gilchrist","Grant Gilchrist","Lock","(1990-08-09)9 August 1990 (aged 33)",65,NA,NA,"Edinburgh","Scotland",56.1181242,-3.9360012
"Rutherglen, Scotland","https://en.wikipedia.org/wiki/Richie_Gray_(rugby_union)","Richie Gray","Lock","(1989-08-24)24 August 1989 (aged 34)",75,NA,NA,"Glasgow Warriors","Scotland",55.8283888,-4.2116533
"Exeter, England","https://en.wikipedia.org/wiki/Sam_Skinner_(rugby_union)","Sam Skinner","Lock","(1995-01-31)31 January 1995 (aged 28)",28,NA,NA,"Edinburgh","England",50.7255794,-3.5269497
"Livingston, Scotland","https://en.wikipedia.org/wiki/Luke_Crosbie","Luke Crosbie","Back row","(1997-04-22)22 April 1997 (aged 26)",5,NA,NA,"Edinburgh","Scotland",55.8831932,-3.5149461
"Edinburgh, Scotland","https://en.wikipedia.org/wiki/Rory_Darge","Rory Darge","Back row","(2000-02-23)23 February 2000 (aged 23)",11,NA,NA,"Glasgow Warriors","Scotland",55.9533456,-3.1883749
"Sydney, New South Wales, Australia","https://en.wikipedia.org/wiki/Jack_Dempsey_(rugby_union)","Jack Dempsey","Back row","(1994-04-12)12 April 1994 (aged 29)",12,NA,NA,"Glasgow Warriors","Australia",-33.8698439,151.2082848
"Perth, Scotland","https://en.wikipedia.org/wiki/Matt_Fagerson","Matt Fagerson","Back row","(1998-07-16)16 July 1998 (aged 25)",36,NA,NA,"Glasgow Warriors","Scotland",56.3958186,-3.4286805
