"player","position","date_of_birth_age","caps","franchise_province","team","club_province","url","birth_info"
"P. J. van Lill","Lock","(1983-12-04)4 December 1983 (aged 39)",60,NA,"Namibia","Capbreton-Hossegor","https://en.wikipedia.org/wiki/P._J._van_Lill","Keetmanshoop, Namibia"
"Adriaan Booysen","Back row","(1996-05-17)17 May 1996 (aged 27)",24,NA,"Namibia","Dallas Jackals","https://en.wikipedia.org/wiki/Adriaan_Booysen","Gobabis, Namibia"
"Wian Conradie","Back row","(1994-10-14)14 October 1994 (aged 28)",28,NA,"Namibia","New England Free Jacks","https://en.wikipedia.org/wiki/Wian_Conradie","Windhoek, Namibia"
"Prince ǃGaoseb","Back row","(1998-07-07)7 July 1998 (aged 25)",12,NA,"Namibia","Tel Aviv Heat","https://en.wikipedia.org/wiki/Prince_%C7%83Gaoseb","Omaruru, Namibia"
"Richard Hardwick","Back row","(1994-05-31)31 May 1994 (aged 29)",3,NA,"Namibia","Melbourne Rebels","https://en.wikipedia.org/wiki/Richard_Hardwick","Windhoek, Namibia"
"Max Katjijeko","Back row","(1995-04-08)8 April 1995 (aged 28)",21,NA,"Namibia","Tel Aviv Heat","https://en.wikipedia.org/wiki/Max_Katjijeko","Windhoek, Namibia"
"Johan Retief","Back row","(1995-10-10)10 October 1995 (aged 27)",21,NA,"Namibia","Griquas","https://en.wikipedia.org/wiki/Johan_Retief_(rugby_union)","Windhoek, Namibia"
"Oela Blaauw","Scrum-half","(2001-10-17)17 October 2001 (aged 21)",0,NA,"Namibia","University of Johannesburg","https://en.wikipedia.org/w/index.php?title=Oela_Blaauw&action=edit&redlink=1",NA
"TC Kisting","Scrum-half","(1994-01-13)13 January 1994 (aged 29)",18,NA,"Namibia","Dinamo București","https://en.wikipedia.org/wiki/TC_Kisting",NA
"Damian Stevens","Scrum-half","(1995-06-02)2 June 1995 (aged 28)",36,NA,"Namibia","New Orleans Gold","https://en.wikipedia.org/wiki/Damian_Stevens","Walvis Bay, Namibia"
"Jacques Theron","Scrum-half","(1999-03-22)22 March 1999 (aged 24)",3,NA,"Namibia","Wanderers","https://en.wikipedia.org/w/index.php?title=Jacques_Theron&action=edit&redlink=1",NA
"Cliven Loubser","Fly-half","(1997-02-24)24 February 1997 (aged 26)",24,NA,"Namibia","Utah Warriors","https://en.wikipedia.org/wiki/Cliven_Loubser","Rehoboth, Namibia"
"Tiaan Swanepoel","Fly-half","(1996-06-04)4 June 1996 (aged 27)",2,NA,"Namibia","Lions","https://en.wikipedia.org/wiki/Tiaan_Swanepoel","Windhoek, Namibia"
"André van den Berg","Fly-half","(1999-11-28)28 November 1999 (aged 23)",4,NA,"Namibia","Wanderers","https://en.wikipedia.org/w/index.php?title=Andr%C3%A9_van_den_Berg&action=edit&redlink=1",NA
"Danco Burger","Centre","(1998-07-28)28 July 1998 (aged 25)",5,NA,"Namibia","Wanderers","https://en.wikipedia.org/w/index.php?title=Danco_Burger&action=edit&redlink=1",NA
"Johan Deysel (c)","Centre","(1991-09-26)26 September 1991 (aged 31)",35,NA,"Namibia","Colomiers","https://en.wikipedia.org/wiki/Johan_Deysel","Windhoek, Namibia"
"Alcino Izaacs","Centre","(1993-11-16)16 November 1993 (aged 29)",3,NA,"Namibia","University of Namibia","https://en.wikipedia.org/wiki/Alcino_Izaacs","Windhoek, Namibia"
"Le Roux Malan","Centre","(1999-03-31)31 March 1999 (aged 24)",2,NA,"Namibia","New England Free Jacks","https://en.wikipedia.org/wiki/Le_Roux_Malan","Windhoek, Namibia"
"JC Greyling","Wing","(1991-06-21)21 June 1991 (aged 32)",42,NA,"Namibia","Wanderers","https://en.wikipedia.org/wiki/JC_Greyling","Okahandja, Namibia"
"Gerswin Mouton","Wing","(1999-12-16)16 December 1999 (aged 23)",3,NA,"Namibia","Wits University","https://en.wikipedia.org/w/index.php?title=Gerswin_Mouton&action=edit&redlink=1",NA
"Chad Plato","Fullback","(1998-04-21)21 April 1998 (aged 25)",4,NA,"Namibia","Club Rugby Ferrol","https://en.wikipedia.org/wiki/Chad_Plato","Swakopmund, Namibia"
"Divan Rossouw","Fullback","(1996-03-12)12 March 1996 (aged 27)",6,NA,"Namibia","Krasny Yar","https://en.wikipedia.org/wiki/Divan_Rossouw","Windhoek, Namibia"
"Malcolm Marx","Hooker","(1994-07-13)13 July 1994 (aged 29)",63,NA,"South Africa","Kubota Spears","https://en.wikipedia.org/wiki/Malcolm_Marx","Germiston, South Africa"
"Bongi Mbonambi","Hooker","(1991-01-07)7 January 1991 (aged 32)",62,NA,"South Africa","Sharks","https://en.wikipedia.org/wiki/Bongi_Mbonambi","Bethlehem, South Africa"
"Steven Kitshoff","Prop","(1992-02-10)10 February 1992 (aged 31)",76,NA,"South Africa","Ulster","https://en.wikipedia.org/wiki/Steven_Kitshoff","Somerset West, South Africa"
"Vincent Koch","Prop","(1990-03-13)13 March 1990 (aged 33)",46,NA,"South Africa","Sharks","https://en.wikipedia.org/wiki/Vincent_Koch","Empangeni, South Africa"
"Frans Malherbe","Prop","(1991-03-14)14 March 1991 (aged 32)",63,NA,"South Africa","Stormers","https://en.wikipedia.org/wiki/Frans_Malherbe","Bredasdorp, South Africa"
"Ox Nché","Prop","(1995-07-23)23 July 1995 (aged 28)",21,NA,"South Africa","Sharks","https://en.wikipedia.org/wiki/Ox_Nch%C3%A9","Bloemfontein, South Africa"
"Trevor Nyakane","Prop","(1989-05-04)4 May 1989 (aged 34)",62,NA,"South Africa","Racing 92","https://en.wikipedia.org/wiki/Trevor_Nyakane","Bushbuckridge, South Africa"
"Eben Etzebeth","Lock","(1991-10-29)29 October 1991 (aged 31)",113,NA,"South Africa","Sharks","https://en.wikipedia.org/wiki/Eben_Etzebeth","Cape Town, Cape Province, South Africa"
"Jean Kleyn","Lock","(1993-08-26)26 August 1993 (aged 30)",4,NA,"South Africa","Munster","https://en.wikipedia.org/wiki/Jean_Kleyn","Linden, South Africa"
"Franco Mostert","Lock","(1990-11-27)27 November 1990 (aged 32)",67,NA,"South Africa","Mie Honda Heat","https://en.wikipedia.org/wiki/Franco_Mostert","Welkom, South Africa"
"Marvin Orie","Lock","(1993-02-15)15 February 1993 (aged 30)",14,NA,"South Africa","Perpignan","https://en.wikipedia.org/wiki/Marvin_Orie","Cape Town, South Africa"
"RG Snyman","Lock","(1995-01-29)29 January 1995 (aged 28)",28,NA,"South Africa","Munster","https://en.wikipedia.org/wiki/RG_Snyman","Potchefstroom, South Africa"
"Pieter-Steph du Toit","Loose forward","(1992-08-20)20 August 1992 (aged 31)",71,NA,"South Africa","Toyota Verblitz","https://en.wikipedia.org/wiki/Pieter-Steph_du_Toit","Cape Town, South Africa"
"Deon Fourie","Loose forward","(1986-09-25)25 September 1986 (aged 36)",7,NA,"South Africa","Stormers","https://en.wikipedia.org/wiki/Deon_Fourie","Pretoria, South Africa"
"Siya Kolisi (c)","Loose forward","(1991-06-16)16 June 1991 (aged 32)",77,NA,"South Africa","Racing 92","https://en.wikipedia.org/wiki/Siya_Kolisi","Port Elizabeth, Eastern Cape, Republic of South Africa"
"Kwagga Smith","Loose forward","(1993-06-11)11 June 1993 (aged 30)",34,NA,"South Africa","Shizuoka Blue Revs","https://en.wikipedia.org/wiki/Kwagga_Smith","Lydenburg, South Africa"
"Marco van Staden","Loose forward","(1995-08-25)25 August 1995 (aged 28)",14,NA,"South Africa","Bulls","https://en.wikipedia.org/wiki/Marco_van_Staden","Krugersdorp, South Africa"
"Duane Vermeulen","Loose forward","(1986-07-03)3 July 1986 (aged 37)",70,NA,"South Africa","SA Rugby","https://en.wikipedia.org/wiki/Duane_Vermeulen","Nelspruit, South Africa"
"Jasper Wiese","Loose forward","(1995-10-21)21 October 1995 (aged 27)",23,NA,"South Africa","Leicester Tigers","https://en.wikipedia.org/wiki/Jasper_Wiese","Upington, South Africa"
"Faf de Klerk","Scrum-half","(1991-10-19)19 October 1991 (aged 31)",49,NA,"South Africa","Yokohama Canon Eagles","https://en.wikipedia.org/wiki/Faf_de_Klerk","Nelspruit, Transvaal, Republic of South Africa"
"Jaden Hendrikse","Scrum-half","(2000-03-23)23 March 2000 (aged 23)",13,NA,"South Africa","Sharks","https://en.wikipedia.org/wiki/Jaden_Hendrikse","King William's Town, South Africa"
"Cobus Reinach","Scrum-half","(1990-02-07)7 February 1990 (aged 33)",26,NA,"South Africa","Montpellier","https://en.wikipedia.org/wiki/Cobus_Reinach","Bloemfontein, South Africa"
"Grant Williams","Scrum-half","(1996-07-02)2 July 1996 (aged 27)",5,NA,"South Africa","Sharks","https://en.wikipedia.org/wiki/Grant_Williams_(rugby_union)","Paarl, Western Cape, South Africa"
"Manie Libbok","Fly-half","(1997-07-15)15 July 1997 (aged 26)",9,NA,"South Africa","Stormers","https://en.wikipedia.org/wiki/Manie_Libbok","Humansdorp, South Africa"
"Damian Willemse","Fly-half","(1998-05-07)7 May 1998 (aged 25)",33,NA,"South Africa","Stormers","https://en.wikipedia.org/wiki/Damian_Willemse","Strand, Western Cape, Republic of South Africa"
"Damian de Allende","Centre","(1991-11-25)25 November 1991 (aged 31)",73,NA,"South Africa","Saitama Wild Knights","https://en.wikipedia.org/wiki/Damian_de_Allende","Cape Town, South Africa"
"André Esterhuizen","Centre","(1994-03-30)30 March 1994 (aged 29)",14,NA,"South Africa","Harlequins","https://en.wikipedia.org/wiki/Andr%C3%A9_Esterhuizen","Potchefstroom, South Africa"
"Jesse Kriel","Centre","(1994-02-15)15 February 1994 (aged 29)",62,NA,"South Africa","Yokohama Canon Eagles","https://en.wikipedia.org/wiki/Jesse_Kriel","Cape Town, South Africa"
"Kurt-Lee Arendse","Wing","(1996-06-17)17 June 1996 (aged 27)",10,NA,"South Africa","Bulls","https://en.wikipedia.org/wiki/Kurt-Lee_Arendse",NA
"Cheslin Kolbe","Wing","(1993-10-28)28 October 1993 (aged 29)",26,NA,"South Africa","Tokyo Sungoliath","https://en.wikipedia.org/wiki/Cheslin_Kolbe","Kraaifontein, Cape Province, Republic of South Africa"
"Makazole Mapimpi","Wing","(1990-07-26)26 July 1990 (aged 33)",39,NA,"South Africa","Sharks","https://en.wikipedia.org/wiki/Makazole_Mapimpi","Tsholomnqa, Cape Province, Republic of South Africa"
"Canan Moodie","Wing","(2002-11-05)5 November 2002 (aged 20)",8,NA,"South Africa","Bulls","https://en.wikipedia.org/wiki/Canan_Moodie","Paarl, South Africa"
"Willie le Roux","Fullback","(1989-08-18)18 August 1989 (aged 34)",87,NA,"South Africa","Bulls","https://en.wikipedia.org/wiki/Willie_le_Roux","Stellenbosch, South Africa"
"Rob Herring","Hooker","(1990-04-28)28 April 1990 (aged 33)",37,NA,"Ireland","Ulster","https://en.wikipedia.org/wiki/Rob_Herring_(rugby_union)","Cape Town, South Africa"
"Rónan Kelleher","Hooker","(1998-01-24)24 January 1998 (aged 25)",21,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/R%C3%B3nan_Kelleher","Dublin, Ireland"
"Dan Sheehan","Hooker","(1998-09-17)17 September 1998 (aged 24)",18,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Dan_Sheehan_(rugby_union)","Dublin, Ireland"
"Finlay Bealham","Prop","(1991-10-09)9 October 1991 (aged 31)",32,NA,"Ireland","Connacht","https://en.wikipedia.org/wiki/Finlay_Bealham","Canberra, Australian Capital Territory, Australia"
"Tadhg Furlong","Prop","(1992-11-14)14 November 1992 (aged 30)",67,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Tadhg_Furlong","Wexford, Ireland"
"Dave Kilcoyne","Prop","(1988-12-14)14 December 1988 (aged 34)",52,NA,"Ireland","Munster","https://en.wikipedia.org/wiki/Dave_Kilcoyne","Limerick, Ireland"
"Jeremy Loughman","Prop","(1995-07-22)22 July 1995 (aged 28)",3,NA,"Ireland","Munster","https://en.wikipedia.org/wiki/Jeremy_Loughman","Reno, United States"
"Tom O'Toole","Prop","(1998-09-23)23 September 1998 (aged 24)",11,NA,"Ireland","Ulster","https://en.wikipedia.org/wiki/Tom_O%27Toole_(rugby_union)","Drogheda, Ireland"
"Andrew Porter","Prop","(1996-01-16)16 January 1996 (aged 27)",54,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Andrew_Porter_(rugby_union)","Dublin, Ireland"
"Ryan Baird","Lock","(1999-07-26)26 July 1999 (aged 24)",13,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Ryan_Baird","Dublin, Ireland"
"Tadhg Beirne","Lock","(1992-01-08)8 January 1992 (aged 31)",41,NA,"Ireland","Munster","https://en.wikipedia.org/wiki/Tadhg_Beirne","Eadestown, Ireland"
"Iain Henderson","Lock","(1992-02-21)21 February 1992 (aged 31)",74,NA,"Ireland","Ulster","https://en.wikipedia.org/wiki/Iain_Henderson","Craigavon, Northern Ireland"
"Joe McCarthy","Lock","(2001-03-26)26 March 2001 (aged 22)",3,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Joe_McCarthy_(rugby_union)","Manhattan, New York, United States"
"James Ryan","Lock","(1996-07-24)24 July 1996 (aged 27)",55,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/James_Ryan_(rugby_union,_born_1996)","Blackrock, Ireland"
"Jack Conan","Back row","(1992-07-29)29 July 1992 (aged 31)",39,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Jack_Conan","Bray, Ireland"
"Caelan Doris","Back row","(1998-04-02)2 April 1998 (aged 25)",31,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Caelan_Doris","Ballina, Ireland"
"Peter O'Mahony","Back row","(1989-09-17)17 September 1989 (aged 33)",96,NA,"Ireland","Munster","https://en.wikipedia.org/wiki/Peter_O%27Mahony","Cork, Ireland"
"Josh van der Flier","Back row","(1993-04-25)25 April 1993 (aged 30)",52,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Josh_van_der_Flier","Wicklow, Ireland"
"Craig Casey","Scrum-half","(1999-04-19)19 April 1999 (aged 24)",12,NA,"Ireland","Munster","https://en.wikipedia.org/wiki/Craig_Casey","Limerick, Ireland"
"Jamison Gibson-Park","Scrum-half","(1992-02-23)23 February 1992 (aged 31)",26,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Jamison_Gibson-Park","Great Barrier Island, New Zealand"
"Conor Murray","Scrum-half","(1989-04-20)20 April 1989 (aged 34)",106,NA,"Ireland","Munster","https://en.wikipedia.org/wiki/Conor_Murray","Limerick, Ireland"
"Ross Byrne","Fly-half","(1995-04-08)8 April 1995 (aged 28)",21,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Ross_Byrne","Dublin, Ireland"
"Jack Crowley","Fly-half","(2000-01-13)13 January 2000 (aged 23)",6,NA,"Ireland","Munster","https://en.wikipedia.org/wiki/Jack_Crowley","Innishannon, Ireland"
"Johnny Sexton (c)","Fly-half","(1985-07-11)11 July 1985 (aged 38)",113,NA,"Ireland","Unattached","https://en.wikipedia.org/wiki/Johnny_Sexton","Dublin, Ireland"
"Bundee Aki","Centre","(1990-04-07)7 April 1990 (aged 33)",47,NA,"Ireland","Connacht","https://en.wikipedia.org/wiki/Bundee_Aki","Auckland, New Zealand"
"Robbie Henshaw","Centre","(1993-06-12)12 June 1993 (aged 30)",64,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Robbie_Henshaw","Athlone, Ireland"
"Stuart McCloskey","Centre","(1992-08-06)6 August 1992 (aged 31)",13,NA,"Ireland","Ulster","https://en.wikipedia.org/wiki/Stuart_McCloskey","Bangor, Northern Ireland"
"Garry Ringrose","Centre","(1995-01-26)26 January 1995 (aged 28)",51,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Garry_Ringrose","Dublin, Ireland"
"Keith Earls","Wing","(1987-10-02)2 October 1987 (aged 35)",100,NA,"Ireland","Munster","https://en.wikipedia.org/wiki/Keith_Earls","Moyross, Ireland"
"Mack Hansen","Wing","(1998-03-27)27 March 1998 (aged 25)",16,NA,"Ireland","Connacht","https://en.wikipedia.org/wiki/Mack_Hansen","Canberra, Australian Capital Territory, Australia"
"James Lowe","Wing","(1992-07-08)8 July 1992 (aged 31)",21,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/James_Lowe_(rugby_union)","Nelson, New Zealand"
"Hugo Keenan","Fullback","(1996-06-18)18 June 1996 (aged 27)",31,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Hugo_Keenan","Dublin, Ireland"
"Jimmy O'Brien","Fullback","(1996-11-27)27 November 1996 (aged 26)",6,NA,"Ireland","Leinster","https://en.wikipedia.org/wiki/Jimmy_O%27Brien_(rugby_union)","Eadestown, Ireland"
"Ewan Ashman","Hooker","(2000-04-03)3 April 2000 (aged 23)",9,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Ewan_Ashman","Toronto, Ontario, Canada"
"Dave Cherry","Hooker","(1991-01-03)3 January 1991 (aged 32)",10,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Dave_Cherry","Edinburgh, Scotland"
"George Turner","Hooker","(1992-10-08)8 October 1992 (aged 30)",37,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/George_Turner_(rugby_union)","Edinburgh, Scotland"
"Jamie Bhatti","Prop","(1993-09-08)8 September 1993 (aged 30)",32,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/Jamie_Bhatti","Stirling, Scotland"
"Zander Fagerson","Prop","(1996-01-19)19 January 1996 (aged 27)",59,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/Zander_Fagerson","Perth, Scotland"
"WP Nel","Prop","(1986-04-30)30 April 1986 (aged 37)",56,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/WP_Nel","Loeriesfontein, South Africa"
"Pierre Schoeman","Prop","(1994-05-07)7 May 1994 (aged 29)",23,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Pierre_Schoeman","Nelspruit, South Africa"
"Javan Sebastian","Prop","(1994-09-02)2 September 1994 (aged 29)",6,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Javan_Sebastian","Wales"
"Rory Sutherland","Prop","(1992-08-24)24 August 1992 (aged 31)",25,NA,NA,"Unattached","https://en.wikipedia.org/wiki/Rory_Sutherland_(rugby_union)","Melrose, Scotland"
"Scott Cummings","Lock","(1996-12-03)3 December 1996 (aged 26)",29,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/Scott_Cummings_(rugby_union)","Glasgow, Scotland"
"Grant Gilchrist","Lock","(1990-08-09)9 August 1990 (aged 33)",65,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Grant_Gilchrist","Stirling, Scotland"
"Richie Gray","Lock","(1989-08-24)24 August 1989 (aged 34)",75,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/Richie_Gray_(rugby_union)","Rutherglen, Scotland"
"Sam Skinner","Lock","(1995-01-31)31 January 1995 (aged 28)",28,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Sam_Skinner_(rugby_union)","Exeter, England"
"Luke Crosbie","Back row","(1997-04-22)22 April 1997 (aged 26)",5,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Luke_Crosbie","Livingston, Scotland"
"Rory Darge","Back row","(2000-02-23)23 February 2000 (aged 23)",11,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/Rory_Darge","Edinburgh, Scotland"
"Jack Dempsey","Back row","(1994-04-12)12 April 1994 (aged 29)",12,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/Jack_Dempsey_(rugby_union)","Sydney, New South Wales, Australia"
"Matt Fagerson","Back row","(1998-07-16)16 July 1998 (aged 25)",36,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/Matt_Fagerson","Perth, Scotland"
"Jamie Ritchie (c)","Back row","(1996-08-16)16 August 1996 (aged 27)",43,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Jamie_Ritchie","Dundee, Scotland"
"Hamish Watson","Back row","(1991-10-15)15 October 1991 (aged 31)",58,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Hamish_Watson_(rugby_union)","Manchester, England"
"George Horne","Scrum-half","(1995-05-12)12 May 1995 (aged 28)",23,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/George_Horne_(rugby_union)","Dundee, Scotland"
"Ali Price","Scrum-half","(1993-05-12)12 May 1993 (aged 30)",63,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/Ali_Price","King's Lynn, England"
"Ben White","Scrum-half","(1998-05-27)27 May 1998 (aged 25)",17,NA,NA,"Toulon","https://en.wikipedia.org/wiki/Ben_White_(rugby_union,_born_1998)","Stoke-on-Trent, England"
"Ben Healy","Fly-half","(1999-06-29)29 June 1999 (aged 24)",3,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Ben_Healy_(rugby_union)","Tipperary, Ireland"
"Finn Russell","Fly-half","(1992-09-23)23 September 1992 (aged 30)",72,NA,NA,"Bath","https://en.wikipedia.org/wiki/Finn_Russell","Bridge of Allan, Scotland"
"Chris Harris","Centre","(1990-12-28)28 December 1990 (aged 32)",44,NA,NA,"Gloucester","https://en.wikipedia.org/wiki/Chris_Harris_(rugby_union)","Carlisle, England"
"Huw Jones","Centre","(1993-12-17)17 December 1993 (aged 29)",39,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/Huw_Jones_(rugby_union)","Leith, Edinburgh, Scotland"
"Cameron Redpath","Centre","(1999-12-23)23 December 1999 (aged 23)",7,NA,NA,"Bath","https://en.wikipedia.org/wiki/Cameron_Redpath","Narbonne, France"
"Sione Tuipulotu","Centre","(1997-02-12)12 February 1997 (aged 26)",19,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/Sione_Tuipulotu_(rugby_union,_born_February_1997)","Frankston, Victoria, Australia"
"Darcy Graham","Wing","(1997-06-21)21 June 1997 (aged 26)",35,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Darcy_Graham","Hawick, Scotland"
"Kyle Steyn","Wing","(1994-01-29)29 January 1994 (aged 29)",13,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/Kyle_Steyn","Johannesburg, South Africa"
"Duhan van der Merwe","Wing","(1995-06-04)4 June 1995 (aged 28)",31,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Duhan_van_der_Merwe","George, Western Cape, South Africa"
"Blair Kinghorn","Fullback","(1997-01-18)18 January 1997 (aged 26)",46,NA,NA,"Edinburgh","https://en.wikipedia.org/wiki/Blair_Kinghorn","Edinburgh, Scotland"
"Ollie Smith","Fullback","(2000-08-07)7 August 2000 (aged 23)",6,NA,NA,"Glasgow Warriors","https://en.wikipedia.org/wiki/Ollie_Smith_(rugby_union,_born_2000)","Prestwick, Scotland"
"Siua Maile","Hooker","(1997-02-18)18 February 1997 (aged 26)",15,NA,"Tonga","Benetton","https://en.wikipedia.org/wiki/Siua_Maile","ʻEua, Tonga"
"Sam Moli","Hooker","(1998-12-24)24 December 1998 (aged 24)",13,NA,"Tonga","Moana Pasifika","https://en.wikipedia.org/wiki/Sam_Moli","Gisborne, New Zealand"
"Paul Ngauamo","Hooker","(1990-02-19)19 February 1990 (aged 33)",27,NA,"Tonga","Castres","https://en.wikipedia.org/wiki/Paul_Ngauamo","Christchurch, New Zealand"
"Joe Apikotoa","Prop","(1996-07-18)18 July 1996 (aged 27)",3,NA,"Tonga","Moana Pasifika","https://en.wikipedia.org/wiki/Joe_Apikotoa","Wellington, New Zealand"
"Siegfried Fisi'ihoi","Prop","(1987-06-08)8 June 1987 (aged 36)",23,NA,"Tonga","Pau","https://en.wikipedia.org/wiki/Siegfried_Fisi%27ihoi","Vavaʻu, Tonga"
"Feao Fotuaika","Prop","(1993-04-23)23 April 1993 (aged 30)",5,NA,"Tonga","Lyon","https://en.wikipedia.org/wiki/Feao_Fotuaika","Gisborne, New Zealand"
"Tau Koloamatangi","Prop","(1995-01-03)3 January 1995 (aged 28)",7,NA,"Tonga","Moana Pasifika","https://en.wikipedia.org/wiki/Tau_Koloamatangi","Auckland, New Zealand"
"Paula Latu","Prop","(1996-02-14)14 February 1996 (aged 27)",1,NA,"Tonga","Southland","https://en.wikipedia.org/w/index.php?title=Paula_Latu&action=edit&redlink=1",NA
"Ben Tameifuna","Prop","(1991-08-30)30 August 1991 (aged 32)",29,NA,"Tonga","Bordeaux","https://en.wikipedia.org/wiki/Ben_Tameifuna","Auckland, New Zealand"
"Adam Coleman","Lock","(1991-10-07)7 October 1991 (aged 31)",0,NA,"Tonga","Bordeaux","https://en.wikipedia.org/wiki/Adam_Coleman","Hobart, Tasmania, Australia"
"Leva Fifita","Lock","(1989-07-29)29 July 1989 (aged 34)",31,NA,"Tonga","Connacht","https://en.wikipedia.org/wiki/Leva_Fifita","Neiafu, Tonga"
"Sam Lousi","Lock","(1991-07-20)20 July 1991 (aged 32)",13,NA,"Tonga","Scarlets","https://en.wikipedia.org/wiki/Sam_Lousi",NA
"Steve Mafi","Lock","(1989-12-09)9 December 1989 (aged 33)",41,NA,"Tonga","Oyonnax","https://en.wikipedia.org/wiki/Steve_Mafi","Fairfield, New South Wales, Australia"
"Semisi Paea","Lock","(1999-04-17)17 April 1999 (aged 24)",3,NA,"Tonga","New England Free Jacks","https://en.wikipedia.org/wiki/Semisi_Paea","Tofoa, Tonga"
"Vaea Fifita","Back row","(1992-06-17)17 June 1992 (aged 31)",9,NA,"Tonga","Scarlets","https://en.wikipedia.org/wiki/Vaea_Fifita","Vavaʻu, Tonga"
"Solomone Funaki","Back row","(1994-04-25)25 April 1994 (aged 29)",7,NA,"Tonga","Moana Pasifika","https://en.wikipedia.org/wiki/Solomone_Funaki","Nukuʻalofa, Tonga"
"Tanginoa Halaifonua","Back row","(1996-09-20)20 September 1996 (aged 26)",13,NA,"Tonga","Stade Français","https://en.wikipedia.org/w/index.php?title=Tanginoa_Halaifonua&action=edit&redlink=1",NA
"Sione Havili Talitui","Back row","(1998-01-25)25 January 1998 (aged 25)",9,NA,"Tonga","Crusaders","https://en.wikipedia.org/wiki/Sione_Havili_Talitui","Nuku'alofa, Tonga"
"Sione Vailanu","Back row","(1995-01-27)27 January 1995 (aged 28)",12,NA,"Tonga","Glasgow Warriors","https://en.wikipedia.org/wiki/Sione_Vailanu","Nukualofa, Tonga"
"Manu Paea","Scrum-half","(2001-09-17)17 September 2001 (aged 21)",9,NA,"Tonga","Moana Pasifika","https://en.wikipedia.org/wiki/Manu_Paea","Auckland, New Zealand"
"Augustine Pulu","Scrum-half","(1990-01-04)4 January 1990 (aged 33)",3,NA,"Tonga","Hino Red Dolphins","https://en.wikipedia.org/wiki/Augustine_Pulu","Auckland, New Zealand"
"Sonatane Takulua (c)","Scrum-half","(1991-01-11)11 January 1991 (aged 32)",52,NA,"Tonga","Agen","https://en.wikipedia.org/wiki/Sonatane_Takulua","Lapaha, Tonga"
"William Havili","Fly-half","(1998-09-09)9 September 1998 (aged 24)",9,NA,"Tonga","Moana Pasifika","https://en.wikipedia.org/wiki/William_Havili","Motueka, New Zealand"
"Otumaka Mausia","Fly-half","(1997-04-22)22 April 1997 (aged 26)",11,NA,"Tonga","Western Sydney Two Blues","https://en.wikipedia.org/w/index.php?title=Otumaka_Mausia&action=edit&redlink=1",NA
"Pita Ahki","Centre","(1992-09-24)24 September 1992 (aged 30)",4,NA,"Tonga","Toulouse","https://en.wikipedia.org/wiki/Pita_Ahki","Auckland, New Zealand"
"Malakai Fekitoa","Centre","(1992-05-10)10 May 1992 (aged 31)",8,NA,"Tonga","Benetton","https://en.wikipedia.org/wiki/Malakai_Fekitoa","Ha'apai, Tonga"
